Tipo_Movimiento,Zona,Departamento,Fecha,Monto_Miles_USD
Exportaciones (FOB),Zona Central,Chalatenango,2025-Mar,33.17
Exportaciones (FOB),Zona Central,Cuscatlán,2025-Mar,0.0
Exportaciones (FOB),Zona Central,La Libertad,2025-Mar,31667.49
Exportaciones (FOB),Zona Central,San Salvador,2025-Mar,506923.81
Exportaciones (FOB),Zona Occidental,Ahuachapán,2025-Mar,34.42
Exportaciones (FOB),Zona Occidental,Santa Ana,2025-Mar,10278.39
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-Mar,2019.64
Exportaciones (FOB),Zona Oriental,La Unión,2025-Mar,71.86
Exportaciones (FOB),Zona Oriental,Morazán,2025-Mar,18.8
Exportaciones (FOB),Zona Oriental,San Miguel,2025-Mar,2048.41
Exportaciones (FOB),Zona Oriental,Usulután,2025-Mar,19.13
Exportaciones (FOB),Zona Paracentral,Cabañas,2025-Mar,0.0
Exportaciones (FOB),Zona Paracentral,La Paz,2025-Mar,2798.66
Exportaciones (FOB),Zona Paracentral,San Vicente,2025-Mar,158.32
Exportaciones (FOB),Zona Central,Chalatenango,2025-Abr,13.09
Exportaciones (FOB),Zona Central,Cuscatlán,2025-Abr,0.0
Exportaciones (FOB),Zona Central,La Libertad,2025-Abr,31091.55
Exportaciones (FOB),Zona Central,San Salvador,2025-Abr,483082.67
Exportaciones (FOB),Zona Occidental,Ahuachapán,2025-Abr,39.48
Exportaciones (FOB),Zona Occidental,Santa Ana,2025-Abr,8200.94
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-Abr,2841.03
Exportaciones (FOB),Zona Oriental,La Unión,2025-Abr,33.45
Exportaciones (FOB),Zona Oriental,Morazán,2025-Abr,169.96
Exportaciones (FOB),Zona Oriental,San Miguel,2025-Abr,2309.95
Exportaciones (FOB),Zona Oriental,Usulután,2025-Abr,15.85
Exportaciones (FOB),Zona Paracentral,Cabañas,2025-Abr,21.33
Exportaciones (FOB),Zona Paracentral,La Paz,2025-Abr,4507.69
Exportaciones (FOB),Zona Paracentral,San Vicente,2025-Abr,87.3
Exportaciones (FOB),Zona Central,Chalatenango,2025-May,74.23
Exportaciones (FOB),Zona Central,Cuscatlán,2025-May,0.75
Exportaciones (FOB),Zona Central,La Libertad,2025-May,33192.68
Exportaciones (FOB),Zona Central,San Salvador,2025-May,527880.28
Exportaciones (FOB),Zona Occidental,Ahuachapán,2025-May,59.79
Exportaciones (FOB),Zona Occidental,Santa Ana,2025-May,10277.59
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-May,2048.44
Exportaciones (FOB),Zona Oriental,La Unión,2025-May,16.6
Exportaciones (FOB),Zona Oriental,Morazán,2025-May,220.32
Exportaciones (FOB),Zona Oriental,San Miguel,2025-May,2286.61
Exportaciones (FOB),Zona Oriental,Usulután,2025-May,12.2
Exportaciones (FOB),Zona Paracentral,Cabañas,2025-May,4.0
Exportaciones (FOB),Zona Paracentral,La Paz,2025-May,5347.31
Exportaciones (FOB),Zona Paracentral,San Vicente,2025-May,37.92
Exportaciones (FOB),Zona Central,Chalatenango,2025-Jun,30.62
Exportaciones (FOB),Zona Central,Cuscatlán,2025-Jun,24.5
Exportaciones (FOB),Zona Central,La Libertad,2025-Jun,32481.27
Exportaciones (FOB),Zona Central,San Salvador,2025-Jun,483528.26
Exportaciones (FOB),Zona Occidental,Ahuachapán,2025-Jun,37.45
Exportaciones (FOB),Zona Occidental,Santa Ana,2025-Jun,8636.5
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-Jun,2393.19
Exportaciones (FOB),Zona Oriental,La Unión,2025-Jun,5.3
Exportaciones (FOB),Zona Oriental,Morazán,2025-Jun,17.35
Exportaciones (FOB),Zona Oriental,San Miguel,2025-Jun,3267.42
Exportaciones (FOB),Zona Oriental,Usulután,2025-Jun,17.64
Exportaciones (FOB),Zona Paracentral,Cabañas,2025-Jun,7.57
Exportaciones (FOB),Zona Paracentral,La Paz,2025-Jun,5656.25
Exportaciones (FOB),Zona Paracentral,San Vicente,2025-Jun,32.21
Exportaciones (FOB),Zona Central,Chalatenango,2025-Jul,20.11
Exportaciones (FOB),Zona Central,Cuscatlán,2025-Jul,6.57
Exportaciones (FOB),Zona Central,La Libertad,2025-Jul,35216.01
Exportaciones (FOB),Zona Central,San Salvador,2025-Jul,539202.57
Exportaciones (FOB),Zona Occidental,Ahuachapán,2025-Jul,30.4
Exportaciones (FOB),Zona Occidental,Santa Ana,2025-Jul,9334.45
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-Jul,2739.56
Exportaciones (FOB),Zona Oriental,La Unión,2025-Jul,8.9
Exportaciones (FOB),Zona Oriental,Morazán,2025-Jul,21.93
Exportaciones (FOB),Zona Oriental,San Miguel,2025-Jul,3464.94
Exportaciones (FOB),Zona Oriental,Usulután,2025-Jul,39.03
Exportaciones (FOB),Zona Paracentral,Cabañas,2025-Jul,43.69
Exportaciones (FOB),Zona Paracentral,La Paz,2025-Jul,5006.21
Exportaciones (FOB),Zona Paracentral,San Vicente,2025-Jul,18.5
Exportaciones (FOB),Zona Central,Chalatenango,2025-Ago,25.06
Exportaciones (FOB),Zona Central,Cuscatlán,2025-Ago,0.0
Exportaciones (FOB),Zona Central,La Libertad,2025-Ago,30362.93
Exportaciones (FOB),Zona Central,San Salvador,2025-Ago,478538.79
Exportaciones (FOB),Zona Occidental,Ahuachapán,2025-Ago,20.52
Exportaciones (FOB),Zona Occidental,Santa Ana,2025-Ago,7092.36
Exportaciones (FOB),Zona Occidental,Sonsonate,2025-Ago,1190.6
