Concepto,2025-Mar,2025-Abr,2025-May,2025-Jun,2025-Jul,2025-Ago,2025-Sep,2025-Oct,2025-Nov,2025-Dic,2026-Ene,2026-Feb,2026-Mar,Zona,Departamento,Tipo_Movimiento
1.1.1.1 Ahuachapán Centro,22.81,25.85,54.1,21.79,16.35,10.32,16.79,22.23,17.46,28.76,46.15,21.26,15.21,,,
1.1.1.1.1 Ahuachapán,11.5,25.85,32.44,21.79,16.35,9.69,16.79,22.23,17.46,28.76,46.15,21.26,15.21,,,
1.1.1.1.2 Apaneca,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.1.1.3 Concepción de Ataco,11.31,0,11.88,0,0,0.63,0,0,0,0,0,0,0,,,
1.1.1.1.4 Tacuba,0,0,9.78,0,0,0,0,0,0,0,0,0,0,,,
1.1.1.2 Ahuachapán Norte,11.61,13.63,5.69,15.65,14.04,10.2,12.89,16.54,27.87,18.37,15.65,24.68,25.35,,,
1.1.1.2.1 Atiquizaya,0,0,0,0,4.78,0,0,0,0,0,0,0,0,,,
1.1.1.2.2 El Refugio,11.61,13.63,5.69,15.65,9.26,10.2,12.89,16.54,27.87,18.37,15.65,24.68,25.35,,,
1.1.1.2.3 San Lorenzo,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.1.2.4 Turín,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.1.3 Ahuachapán Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.1.3.1 Guaymango,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.1.3.2 Jujutla,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.1.3.3 San Francisco Menéndez,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.1.3.4 San Pedro Puxtla,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.2.1 Santa Ana Centro,5586.56,4451.32,6582.23,6100.77,6692.84,5359.1,6000.77,5404.18,5598.28,4899.05,4345.99,4422.46,5159.94,,,
1.1.2.1.1 Santa Ana,5586.56,4451.32,6582.23,6100.77,6692.84,5359.1,6000.77,5404.18,5598.28,4899.05,4345.99,4422.46,5159.94,,,
1.1.2.2 Santa Ana Este,0,0,0,116.74,0,0,0,0,0,0,0,0,0,,,
1.1.2.2.1 Coatepeque,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.2.2.2 El Congo,0,0,0,116.74,0,0,0,0,0,0,0,0,0,,,
1.1.2.3 Santa Ana Norte,840.97,703.27,817.45,819.51,859.55,842.68,909.3,988.97,1094.06,554.17,934.45,984.4,892.91,,,
1.1.2.3.1 Masahuat,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
1.1.2.3.2 Metapán,840.97,703.27,817.45,819.51,859.55,839.29,909.3,988.97,1094.06,554.17,934.45,984.4,892.91,,,
1.1.2.3.3 Santa Rosa Guachipilín,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
